id;pageCat;imageCat;numberCat;"Anzahl der Bände bzw.  ""tomi"" lt. hs. Katalog";"Erschienene Teile insgesamt =  ""comment"" zum Werk";"davon vorhanden = ""comment"" zum Expl. lt. Katalog";titleCat;titleBib;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;contributor5;place1;place2;place3;publisher1;publisher2;publisher3;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
343;[90];[00097];6;;;;Vermischte Neben arbeiten C. G. Heroi. Wienn 1715.;Vermischte Neben-Arbeiten, Hn. Carl Gustafs Heraei, Käyserl. Raths und Antiquitäten-Inspectors;Heräus, Carl Gustav#119511320m;;;;;;;;;Wien#getty7003321;;;Heyinger, Andreas#1037521544m;;;1715;4°;Catalogus VI;Bellestristik;;Druck;ger;GBV;191510378;;;;;;;;;;;Nicht in angegebenem Format nachweisbar;;
344;[90];[00097];7;;;;Memoires pour servir a l'histoire de France et de Bourgogne, contenant un journal de Paris sous le regne de Charrles vi et de Charles vii. à Paris 1729.;"Memoires pour servir à l'histoire de France et de Bourgogne, contenant un journal de Paris sous les regnes de Charles VI et de Charles VII :
";Bois-Morel, N.#1055529659m;;;;LaBarre, Louis François Joseph, de#1055134336m [HERAUSGEBER];Gandouin, Julien-Michel#1037599837m [VERLEGER/DRUCKER];;;;Paris#getty7008038;;;Giffart, Pierre François#104365242m;;;1729;4°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150065027;;;;;;;;;;;;;
345;[90];[00097];8;2;Teil 1-2;Teil 1-2;Histoire de l'Empire par M. Heiss. à Amsterd: 1733. Tom: i, ii;"Histoire de l'empire : contenant son origine, son progrès, ses révolutions; la forme de son gouvernement; sa politique; ses alliances; ses negociations; et les nouveaux reglemens qui ont été faits par les traitès de Westphalie et autres";Heiß von Kogenheim, Johann#172765080m;;;;;;;;;Amsterdam#7006952;;;Wetstein & Smith#050659677;;;1733;4°;Catalogus VI;Bellestristik;;Druck;fre;GBV;140191844;;;;;;;;;;;Ausgabe mit 8V: 163897743;;
346;[90];[00097];9;;;;Histoire de derniers revolutions d'Angleterre par feu M. Brunet.  a la Haye 1725. Tom: i.;Histoire Des Dernieres Revolutions D'Angleterre : Traduit De L'Anglois;Burnet, Gilbert#118674978m;;;;;;;;;Den Haag#getty7006813;;;Néaulme, Jean#100850030m;;;1725;4°;Catalogus VI;Bellestristik;Biografie;Druck;fre;GBV;247086266;;;;;;;;;;;;;
347;[90];[00097];10;;;;Oeuvres de M. de Sacy de l'academie françoise contenant les lettres de Pline le Jeune, le Panegyrique de Trajan, par le meme Pline et la traité de l'Amitié. à Paris 1722.;Œuvres De Mr. De Sacy, De L'Academie Françoise;Sacy, Louis, de#104102489m;;;;Plinius Caecilius Secundus, Gaius#118595091m;;;;;Paris#getty7008038;;;Compagnie des Libraires<Paris>#6146038-2;;;1722;4°;Catalogus VI;Bellestristik;Briefsammlung;Druck;fre;GBV;223464546;;;;;;;;;;;;;
348;[90];[00097];11;2;Teil 1-2;Teil 1-2;Memoires d'atillerie où il est traité des mortiers, petards, arquebuses à croc mousquets, fusils. par Surirey de Saint Remy Amsterdam 1702. Tom: i, ii.;Memoires d'Artillerie : où il est traité des mortiers, petards, arquebuses à croc, mousquets, fusils, …;Surirey de Saint-Remy, Pierre#1050460731m;;;;;;;;;Amsterdam#7006952;;;Mortier, Pieter#101510116Xm;;;1702;4°;Catalogus VI;Bellestristik;;Druck;fre;GBV;144271834 ;;;;;;;;;;;nicht im angegebenen Format nachweisbar;;
349;[91];[00098];12;2;Teil 1-2;Teil 1-2;L'architecture de Vignole Avec les commentaires du Sr. Davilier à Paris 1720. Tom: i, ii;Cours d'architecture : qui comprend les ordres de Vignole, avec des commentaires, les figures et descriptions de ses plus beaux bâtimens, et de ceux de Michel-Ange, plusieurs nouveaux desseins ... et tout ce qui regarde l'art de bâtir ....;Aviler, Augustin-Charles#119547961m;;;;Vignola#11925011Xm;;;;;Paris#getty7008038;;;Mariette, Pierre-Jean#123185823m;;;1720;4°;Catalogus VI;Bellestristik;Wörterbuch;Druck;fre;GBV;151498725;;;;;;;;;;;;T 1: https://doi.org/10.11588/diglit.1594 T2: https://doi.org/10.11588/diglit.1595;
350;[91];[00098];13;;;;Die Gedult des Socratis bey seinen 2 weibern in einem Schauspiel auf der Kayserin Maj: Hochsten Nahmens Tag Zu Blanckenburg presentiret.;Die Gedult des Socratis bey seinen zwey Weibern. In einem lustigen Schau-Spiel verfasset, und … auf den Blanckenburgischen Theatro praesentiret;Flemmer, Christian#104312068m;;;;;;;;;Blankenburg#getty7012401;;;Struve, Henning Conrad#1037502116m ;;;ca. 1720;4°;Catalogus VI;Bellestristik;;Druck;ger;GBV;15093632X;;;;;;;;;;;nicht im angegebenen Format nachweisbar;;
351;[92];[00099];;;;;ohne Einträge;;;;;;;;;;;;;;;;;;4°;Catalogus VI;Bellestristik;;Druck;;;;;;;;;;;;;;;;
352;[93];[00100];14;3;Teil 1-6;Teil 1-3;Memoires de Mad. de Montpensier, fille de M. Gaston d'Orleans. à Paris 1728. Tom: i, ii, iii.;Memoires De Mademoiselle De Montpensier, Fille de Mr. Gaston D'Orléans, Frère De Louis XIII., Roi de France ;Montpensier, Anne Marie Louise Henriette D'Orléans, de#118835440w;;;;Segrais, Jean Regnault de#118796046m [HERAUSGEBER];Le Breton, Nicolas-François#1037550382m [DRUCKER/VERLEGER];;;;Paris#getty7008038;;;Le Breton, François#1037584872m;;;1728;8°;Catalogus VI;Bellestristik;Biografie;Druck;fre;GBV;151706743;;;;;;;;;;;;;
353;[93];[00100];15;;;;La mort de Cesar tragedie de M. de Voltaire Amsterdam 1736.;"La Mort de César ; Tragédie …";Voltaire, François-Marie Arouet#118627813m;;;;;;;;;Amsterdam#7006952;;;Ledet, Etienne#1037572173m;;;1736;8°;Catalogus VI;Bellestristik;Drama;Druck;fre;GBV;150421885 ;;;;;;;;;;;;;
354;[93];[00100];16;2;Teil 1-2;Teil 1-2;De l'Usage des romans, avec une bibliotheque de Romans. par M. le Gordon de Percel. à  Amsterd: 1734. Tom: i, ii.;"De L'Usage Des Romans, Où l'on fait voir leur utilité & leurs differens caracteres : Avec Une Bibliotheque des Romans ; …";Lenglet du Fresnoy, Nicolas#118907026m;;;;;;;;;Amsterdam#7006953;;;Poilras, ... <Witwe>#1037599470w;;;1734;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;133524930;;;;;;;;;;;;;
355;[93];[00100];17;2;Teil 1-10;Teil 1-2;Artamene ou le Grand Cyrus par M. de Scudery. a Paris 1649. Tom: i, ii.;Artamène, ou Le grand Cyrus;Scudéry, Madeleine, de#119069563w;Scudéry, Georges, de#118795899m [angebl. Verf.];;;;;;;;Paris#getty7008038;;;Courbé, Augustin#1037570200m;;;1649;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151487669;;;;;;;;;;;;;
356;[93];[00100];18;6;Teil 1-6;Teil 1-6;Octavia Romische Geschichte der hochlöblichen Nymfen-Gesellschaft an der Donau gewidmet. Nürnberg 1685. Tom.: i, ii, iii, iv, v, vi.;Octavia Römische Geschichte : Der Hochlöblichen Nymfen-Gesellschaft an der Donau gewidmet;Anton Ulrich <Braunschweig-Lüneburg, Herzog>#118503472m;;;;;Knorz, Andreas#1037531302m [DRUCKER];;;;Nürnberg#getty7004334;;;Hoffmann, Johann#124577466m;;;1685;8°;Catalogus VI;Bellestristik;Chronik;Druck;ger;VD17; 23:248741F;;;;;;;;;;;;;
357;[93];[00100];19;6;Teil 1-7;Teil 1-6;item nocheinmahl Braunschweig 1712. Tom: i, ii, iii, iv, v, vi.;Die Römische Octavia;Anton Ulrich <Braunschweig-Lüneburg, Herzog>#118503472m;;;;;;;;;Braunschweig#getty7004434;;;Zilliger, Johann Georg#138517894m;;;1712;8°;Catalogus VI;Bellestristik;Roman;Druck;ger;GBV;150151845;;;;;;;;;;;;;
358;[93];[00100];20;5;Teil 1-5;Teil 2-4;Die durchleuchtige Syrerin Aramena der beschwigerten Freundschaft gewidmet. Nurnberg 1679. Tom: ii, iii, iv.;Die Durchleuchtige Syrerinn Aramena, Teil 2;Anton Ulrich <Braunschweig-Lüneburg, Herzog>#118503472m;;;;Froberg, Christian Siegmund#1037497473m [DRUCKER/VERLEGER];Franck, J. [KUPFERSTECHER];;;;Nürnberg#getty7004334;;;Hoffmann, Johann#124577466m;;;1679;8°;Catalogus VI;Bellestristik;Roman;Druck;ger;GBV;133956873;;;;;;;;;;;;;
359;[94];[00101];21;;;;Les amans ignorans comedie à Paris 1723.;Les amans Ignorans;Autreau, Jacques#122075633m;;;;;;;;;Paris#getty7008038;;;Briasson, Antoine-Claude#119458047m;;;1732;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150144040;;;;;;;;;;;;;
360;[94];[00101];22;;;;Les paresseux comedie en vers par M. de Launay. à Paris 1733.;Le Paresseux : Comédie en vers, et en 3 actes.;Delaunay, …#104333111m;;;;;;;;;Paris#getty7008038;;;Le Breton, François#1037584872m;;;1733;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151889597;;;;;;;;;;;;;
361;[94];[00101];23;9;Teil 1-9;Teil 1-9;Les Ouevres de M. d` Ancourt.  à Paris 1729. Tom. i, ii, iii, iv, v, vi, vii, viii, ix.;Les Oeuvres;Dancourt, Florent Carton#118702378m;;;;;;;;;Paris#getty7008038;Rouen#getty7008929;Ribou, Marie#1037552245w;in Komm.;;;1729;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151705259;;;;;;;;;;;;;
362;[94];[00101];24;6;Teil 1-6;Teil 1-6;Le theatre Italien de Gherardi . Tom. i, ii, iii, iv, v, vi.;Le théâtre italien;Gherardi, Evaristo#119160161m;;;;;;;;;Paris#getty7008038;;;Cusson, Jean-Baptiste#133320472m;Witte, Pierre#133140369m;;1700;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151830991 ;;;;;;;;;;;;;
363;[94];[00101];25;;;;Les avantures de Pomponius chevalier Romain ou l'histoire de notre tems. à Rome 1724.;Les Avantures De Pomponius, Chevalier Romain, Ou L'Histoire De notre Tems;Labadie, Jean, de#118938096m;;;;Prévost d'Exilles, Antoine François#118596462m [VERLEGER];;;;;Rom#getty7000874;;;Pallavicino, Ferrante Erben;;;1724;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151379793;;;;;;;;;;;;;
364;[94];[00101];26;;;;La fausse antipathie comedie par Nivelle de la Chaussée. à Paris 1734.;La Fausse Antipathie;La Chaussée, Nivelle de#118778382m;;;;;;;;;Paris#getty7008038;;;Prault, Pierre#136527485m;;;1734;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150145209;;;;;;;;;;;;;
365;[94];[00101];27;;;;Relation du voyage du port royal de l'Acadie. par M. diereville. amsterd: 1710 ;Relation du voyage du Port Royal de l'Acadie ou de la Nouvelle France ;Diéreville, N. de#133620522m;;;;;;;;;Amsterdam#7006952;;;Humbert, Pierre#1037581601m;;;1710;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;135660807;;;;;;;;;;;;;
366;[94];[00101];28;;;;Le coureur de nuit ou les neuf avantures du Chevalier dom Diego â Paris 1731.;Le Coureur de nuit : ou Les neuf avantures du Chevalier Dom Diego;Salas Barbadillo, Alonso Jerónimo, de#120804492m;;;;;;;;;Paris#getty7008038;;;Huart, Pierre Michel#1037584910m;;;1731;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151481474;;;;;;;;;;;;;
367;[95];[00102];29;;;;L'art de connaitre les femmes, avec une dissertation sur l'adultere. par le chevalier Plante-Amour à la Haye 1730.;L'art de connaître les femmes, avec une Dissertation sur l'adultère ;Bruys, François#100826067m;;;;;;;;;Den Haag#getty7006813;;;;;;1730;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;134963520;;;;;;;;;;;;;
368;[95];[00102];30;;;;La surprise de la Haine comedie de M. de Boissy . à Paris 1734.; La Surprise De La Haine : Comedie ;Boissy, Louis, de#120770539m;;;;;;;;;Paris#getty7008038;;;Prault, Pierre#136527485m;;;1734;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;254769705;;;;;;;;;;;;;
369;[95];[00102];31;;;;Histoire des intrigues galantes de la reine Christine du Suede. Amsterdam 1697.;Histoire Des Intrigues Galantes De La Reine Christine De Suède Et de sa Cour, pendant son Sejour à Rome ;Franckenstein, Christian Gottfried#115508678m;;;;;;;;;Amsterdam#7006952;;;Henri, Jan#1037625986m;;;1697;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;212466321;;;;;;;;;;;;;
370;[95];[00102];32;;;;De Groote Schouw-Plaets der jammerlijcken bloed en Moord geschiedenissen, vertaeld uyt de Schriften van Belley, Harsdorffer, Rosfelt door Simon de Vris. Utrecht 1670.;De groote Schouw-Plaets der jammerlijcke Bloed-en-Moord-Geschiedenissen, …;Vries, Simon de#119208873m;;;;;;;;;Utrecht#getty7006926;;;Ribbius, Johannes#1037550668m;;;1670;8°;Catalogus VI;Bellestristik;;Druck;dut;GBV;238617637 ;;;;;;;;;;;;;
371;[95];[00102];33;;;;Histoire de l'admirable Don Quixotte de la Manche. à Brusselles. 1706. Tom. i, ii;Histoire De L'Admirable Don Quixotte De La Manche ;Cervantes Saavedra, Miguel, de#11851993Xm;;;;;;;;;Brüssel#getty7007868;;;Fricx, Guillaume#1037654714m;;;1706;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151229384;;;;;;;;;;;;;
372;[96];[00103];34;2;Teil 1-2;Teil 1-2;La politique de amans ou la connaissance du Coeur. à Paris 1683. Tom: i. ii;La Politique Des Amans, Ou La Connoissance Du Coeur: Entretiens;Montfort, François Salvat, de#143216570m;;;;;;;;;Paris#getty7008038;;;Guillain, Thomas#1632170Xm;;;1683;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;134926056;;;;;;;;;;;nicht in 8°;https://books.google.de/books?id=9c0TAAAAQAAJ&hl=de&pg=PP3#v=onepage&q&f=false;
373;[96];[00103];35;;;;Oedipe tragédie de Sophocle et les Oiseaux comédie d'Aristophane à Paris 1729.;Oedipe, tragédie de Sophocle, et les oiseaux, comédie d'Aristophane;Sophocles#118615688m;;;;Boivin, Jean#124699103m [ÜBERSETZER];;;;;Paris#getty7008038;;;Didot, François#130239062m;;;1729;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;23401296X;;;;;;;;;;;;;
374;[96];[00103];36;;;;Esope a la cour et Esope a la ville deux comedies de M. Boursault. à Paris 1722. ;Esope A La Cour Et Esope A La Ville;Boursault, Edme#118662414m;;;;Villequier, Madame de [WIDMUNGSEMPFÄNGERIN];Aumont, Louis Marie d' [WIDMUNGSEMPFÄNGER] ;;;;Paris#getty7008038;;;Lesch, Geoffroi#1037585070m;;;1722;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;147485975;;;;;;;;;;;;;
375;[96];[00103];37;;;;Fables nouvelles. par de la Motte. Amsterdam 1727;Fables Nouvelles ;La Motte, Antoine Houdar, de#104270632m;;;;;;Coypel, Charles-Antoine#119242427 [Beiträger k.];Edelinck, Nicolas-Etienne#123153506 [Beiträger k.];;Amsterdam#7006952;;;Wetstein & Smith#050659677;;;1727;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;504468707;;;;;;;;;;;;;
376;[96];[00103];38;;;;Les freres Jumeaux à Paris 1730;Les Frères jumeaux: Nouvelle historique, tirée de l'espagnol;La Valle, Milon de#105554643Xm;;;;;;;;;Paris#getty7008038;;;Josse, Louis#1037574117m;;;1730;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151071098;;;;;;;;;;;;;
377;[96];[00103];39;;;;Caracteres des historiens Satyriques de notre tems. du Sr. D. Brasey. a Veritopolie.;Caractères des historiens satyriques de notre tems ou Remarques sur le mémoires amusants, politique et satyriques du [^Jean ^Nicolas] d^[e] Brasey [^Comte ^de ^Lyon];Spor, Cajus Rudolphus, von#141191260m;;;;;;;;;Amsterdam#7006952;;;;;;1716;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;14991606X;;;;;;;;;;;;;
378;[96];[00103];40;;;;Traite de l'orgueil par Jean la Placette. à Amsterd: 1700.;Traité de l'orgueil ;La Placette, Jean#129609951m;;;;;;;;;Amsterdam#7006952;;;Marret, Paul#1037596102m;;;1700;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151627797;;;;;;;;;;;;;
379;[96];[00103];41;;;;Histoire d'Emile ou des amours de Mads. de XXX. par  Madame Meheust. à Paris 1732.;Histoire d'Émilie ou Les amours de M[ademoise]lle de ***;Meheust, …#105556831Xf;;;;;;;;;Paris#getty7008038;;;Delespine, Charles-Jean-Baptiste <Sohn>#1037626877m;;;1732;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150287151;;;;;;;;;;;;;
380;[97];[00104];42;;;;La constance de promptes amour avec le jouet de l'amour. à Paris 1733.;La Constance des promptes amours;;;;;;;;;;Paris#getty7008038;;;Morin, Jean-André#1171337957m;Mesnier, Alexis-Xavier-René#1037630653m;;1733;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151872813;;;;;;;;;;;;;
381;[97];[00104];43;;;;Nouvelles pièces de Theatre. à Amsterd: 1724. Tom: i.;Nouvelles Pièces De Théatre ;;;;;;;;;;Amsterdam#7006952;;;Du Sauzet, Henri#1037561724m;;;1724;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151596786 ;;;;;;;;;;;;;
382;[97];[00104];44;;Teil 1-4;Teil 1-4;Recueil de pieces Galantes en prose et en vers de Madame la Comtesse de la Suze. à Paris 1695.;Recueil De Pieces Galantes, En Prose Et En Vers;La Suze, Henriette de Coligny, de#100182038w;;;;;;;;;Paris#getty7008038;;;Boudet, Antoine#1037552903m;;;1695;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;254769063;;;;;;;;;;;;;
383;[97];[00104];45;2;Teil 1-2;Teil 1-2;Les tours de Maitre Gonin. à Anvers 1714 Tom: i, ii;Les Tours De Maître Gonin : Enrichis De Figures en Taille-douce;Bordelon, Laurent#100048552m;;;;;;;;;Antwerpen#7007856;Paris#getty7008038;;Huyssens, François#1037595149m;;;1714;8°;Catalogus VI;Bellestristik;Roman;Druck;fre;GBV;147470374;;;;;;;;;;;;;
384;[97];[00104];46;;Teil 1-3;Teil 1;Les comedies en Terence traduites en Francois par Mad: Dacier, avec de remarques. à Amsterd: 1700.  Tom: i.;Les Comedies de Terence traduites en francais par Madame Dacier. avec des remarques ;Terentius Afer, Publius#118621335m;;;;Dacier, Anne#118670840w [ÜBERSETZERIN];;;;;Amsterdam#7006952;;;Gallet, George#1037516125m;;;1700;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;232455902 ;;;;;;;;;;;;;
385;[97];[00104];47;;Teil 1-2;Teil 1-2;Comedies de Plaute traduite en Francois par mad. le Fevre. à Paris 1691.  Tom: i, ii. uno vol:;Comedies / De Plaute, Traduites en Francois, Par Mademoiselle Le Fevre. Avec Des Remarques Et Un Examen, Selon Les Regles Du Theatre;Plautus, Titus Maccius#118594974m;;;;Dacier, Anne#118670840w;Thierry, Denys#1037549333m [DRUCKER];;;;Paris#getty7008038;;;Barbin, Claude#1037538749m;;;1691;8°;Catalogus VI;Bellestristik;;Druck;fre | lat;GBV;149900562;;;;;;;;;;;;;
386;[98];[00105];;;;;ohne Einträge;;;;;;;;;;;;;;;;;;8°;Catalogus VI;Bellestristik;;Druck;;;;;;;;;;;;;;;;
387;[99];[00106];;;;;ohne Einträge;;;;;;;;;;;;;;;;;;8°;Catalogus VI;Bellestristik;;Druck;;;;;;;;;;;;;;;;
388;[100];[00107];;;;;ohne Einträge;;;;;;;;;;;;;;;;;;8°;Catalogus VI;Bellestristik;;Druck;;;;;;;;;;;;;;;;
389;[101];[00108];48;2;Teil 1-8;Teil 1-2;Nouveau receuil choisi et mele de meilleures pieces du theatre François et Italien. à la Haye 1733. Tom: i, ii.;Nouveau Recueil choisi et mêlé des meileures pièces du théatre françois et italien;;;;;;;;;;Den Haag#getty7006813;;;Dole, Antoine van#1037588908m;;;1733;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150186010;;;;;;;;;;;;;
390;[101];[00108];49;4;Teil 1-4;Teil 1-4;La opere di G. B. P. di Moliere, tradotte du Nic: di Castelli. in Lipsium 1698. Tom: i, ii, iii, iv.;Le Opere Di G. B. P. Di Moliere : Divise in quattro Volumi, & aricchite di bellissime Figure;Molière#11858331Xm;;;;Castelli, Nicolò, di#12308122Xm [ÜBERSETZER];;;;;Leipzig#getty7139158;;;Gleditsch, Johann Ludwig#104272724m;;;1698;12°;Catalogus VI;Bellestristik;;Druck;ita;VD17;3:603807E;;;;;;;;;;;;;
391;[101];[00108];50;;;;Les mille et une heure. à Paris 1734. Tom: i, ii.;Les mille et une Heure : Contes péruviens;Gueullette, Thomas-Simon#119161591m;;;;;;;;;Paris#getty7008038;;;Huart, Pierre Michel#1037584910m;;;1734;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150763239;;;;;;;;;;;;;
392;[101];[00108];51;;;;Hiacynte ou le Marquis de Celtas Dirorgo nouvelle Espagnole. Amsterd: 1731. Tom: i, ii, uno vol:;Hiacynte Ou Le Marquis De Celtas Dirorgo : Nouvelle Espagnole ;;;;;;;;;;Amsterdam#7006952;;;Desbordes, Jacques, II.#1037564138m;;;1731;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;  150685610;;;;;;;;;;;;;
393;[101];[00108];52;;;;Le roman Bourgeois ouvrage comique par Antoine Furetiere. à Amsterd: 1704.;Le Roman Bourgeois : Ouvrage Comique ;Furetière, Antoine#118694316m;;;;;;;;;Amsterdam#7006952;;;Kuyper, Gerard#1037614550m;;;1704;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150080883;;;;;;;;;;;;;
394;[101];[00108];53;;;;Memoires secrets de M. L. D. D. O. ou les avantures comiques de plusieurs grand princes de la Cour de France. par Mad: d`Aunoy. à Paris 1696;Memoires Secrets De Mr. L. D. D. O. Ou Les Avantures Comiques De plusieurs grands Princes de la Cour De France;Aulnoy, Marie Catherine LeJumel de Barneville d'#118808788w;;;;;;;;;Paris#getty7008038;;;Bredou, Jacques#1037625358m;;;1696;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;149964811;;;;;;;;;;;;;
395;[102];[00109];54;;;;Histoire de la Comtesse de Gondez. à Amsterdam 1728.;Histoire de la C[om]tesse de Gondez;Lussan, Marguerite, de#100173101w;;;;;;;;;Amsterdam#7006952;;;;;;1728;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150497164;;;;;;;;;;;;;
396;[102];[00109];55;5;Teil 1-7;Teil 1-5;Lettres historiques et galantes par Mad:dDe Cxxx à Cologne 1710. T: i, ii, iii, iv, v.;Lettres historiques et galantes ;Du Noyer, Anne Marguerite Petit#100115454w;;;;;;;;;Köln#getty7004446;;;Marteau, Pierre#1037499565;;;1710;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150725434;;;;;;;;;;;;;
397;[102];[00109];56;6;Teil 1-12;Teil 1-6;Le nouveau theatre François à Utrecht 1735. Tom: i, ii, iii,iv,v,vi.;Le nouveau théâtre françois ;;;;;;;;;;Utrecht#getty7006926;;;Néaulme, Etienne#1037584260m;;;1735;"8""";Catalogus VI;Bellestristik;;Druck;fre;GBV;15014458X;;;;;;;;;;;;;
398;[102];[00109];57;;;;Les ouevres de M. Pradon. à Amsterd: 1695.;[Les Oeuvres] Les Oeuvres De Mr. Pradon;Pradon, Nicolas#100847099m;;;;;;;;;Amsterdam#7006952;;;Schelte, Antoine#1037559029m;;;1695;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151461473;;;;;;;;;;;;;
399;[102];[00109];58;2;Teil 1-2;Teil 1-2;Oeuvres de M. de Campistron. Amsterd: 1722. T: i. ii.;Oevres ;Campistron, Jean Galbert de#11866817Xm;;;;;;;;;Amsterdam#getty7006952;;;Valat, Etienne#1037610202m;;;1722;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;149894937;;;;;;;;;;;nur in 8° gefunden;;
400;[102];[00109];59;2;Teil 1-2;Teil 1-2;Les oeuvres de M. Regnard. à Bruxelles 1711. Tom: i, ii.;Les Oeuvres De Mr. Regnard ;Regnard, Jean François#118788124m;;;;T'Serstevens, François#1037581296m [DRUCKER/VERLEGER];;;;;Brüssel#getty7007868;;;T'Serstevens, Joseph#1037622561m;;;1711;8°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150355645;;;;;;;;;;;;;
401;[102];[00109];60;;;;Oeuvres diverses de Mlle. De la Rxx Gxx Amsterd: 1711;Oeuvres diverses de Mademoiselle de la R** G**;La Roche-Guilhem, Anne de#119462222w;;;;;;;;;Amsterdam#getty7006952;;;Bernard, Jean Fredéric#10007832Xm;;;1711;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;151032939;;;;;;;;;;;;;
402;[102];[00109];61;;;;Avantures galantes de M. le Noble. à Amsterd: 1710. ;Avantures Galantes De Mr. ... ;Le Noble, Eustache#118987976m;;;;;;;;;Amsterdam#getty7006952;;;Coup, Pieter de#1037554248m;;;1710;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;15163338X;;;;;;;;;;;;;
403;[102];[00109];62;;;;Histoire d'Estevanille Gonzalez. à Amsterd: 1734. Tom: i.;Histoire d'Estevanille Gonzalez, surnommé le garcon de bonne humeurm tirée de l'espagnol ;Le Sage, Alain René#118572032m;;;;;;;;;Amsterdam#getty7006952;;;;;;1734;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150254709;;;;;;;;;;;;;
404;[102];[00109];63;;;;Les delices et les galantieres de l'Isle de france à  Cologne 1709. Tom: i, ii uno vol: ;Les Délices et les galanteries de l'isle de France ;;;;;;;;;;Köln#getty7004446;;;Marteau, Pierre#1037499565;;;1709;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;150310366;;;;;;;;;;;;;
405;[103];[00110];64;5;Teil 1-5;Teil 1-5;Le theatre de T Corneille. a Amsterd: 1716. Tom: i, ii, iii, iv, v;[Le Théâtre] Le Théâtre De T. Corneille ;Corneille, Thomas#118670115m;;;;;;;;;Amsterdam#getty7006952;;;L'Honoré, François#1037544145m;;;1716;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;478690568;;;;;;;;;;;Tom vi durchgestrichen;;
406;[103];[00110];65;5;Teil 1-5;Teil 1-5;Le theatre de P. Corneille. a Amsterd: 1716. T: i, ii, iii, iv, v.;[Le Théâtre] Le Théâtre De P. Corneille ;Corneille, Pierre#118522175m;;;;;;;;;Amsterdam#getty7006952;;;L'Honoré, François#1037544145m;;;1716;12°;Catalogus VI;Bellestristik;;Druck;fre;GBV;254642659;;;;;;;;;;;;;
407;[104];[00111];1;2;Teil 1-4;Teil 1-2;Oeuvres de Nicolas Boileau Despreaux avec des eclaircissemens historiques à la Haye 1729. Tom: i, ii.;Oeuvres De Nicolas Boileau Despreaux ;Boileau Despréaux, Nicolas#118512986m;;;;Picart, Bernard#123379636 [Ill.];;;;;Den Haag#getty7006813;;;Hondt, Pieter de#132599880m;;;1729;2°;Catalogus VII;Belletristik | Briefe | Memoiren;;Druck;fre;GBV;151421021 ;;;;;;;;;;;;;
