sep=,
id,pageCat,imageCat,numberCat,itemInVolume,titleCat,titleBib,titleNormalized,author1,author2,author3,author4,contributor1,contributor2,contributor3,contributor4,place1,place2,publishers,year,format,histSubject,subjects,genres,mediaType,languages,systemManifestation,idManifestation,institutionOriginal,shelfmarkOriginal,provenanceAttribute,digitalCopyOriginal,targetOPAC,searchID,titleWork,systemWork,idWork,bound,comment,digitalCopy,copiesHAB
weltwissen87,,,,1,"Herrn Mag. Christ. Scrivers Seelen-Schatzes Kern- und Stern, oder Register","Herrn M. Christian Scrivers, Fürstl. Sächs. Ober-Hoff-Predigers und Consistorial-Raths zu Quedlinburg Seelen-Schatzes Kern und Stern Oder ... Register ...","Seelen-Schatzes Kern und Stern oder Register",,,,,,,,,Helmstedt#getty7005247,Magdeburg#getty7004456,"Süstermann, Johann Melchior;Seidel, Christoph;Hesse, Heinrich",1704,Folio,,Theologie,,,ger,,,HAB,"M: Th 2° 16",,,,,,,,1,"Registerband; Hauptband (Teil 1-5) nach Altkatalog separat erfasst",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=151374244,"Altsignatur: M. e. 11"
weltwissen88,,,,1,"Successions-Sach von Hessen Philippsthal wieder Brandenburg Onolzbach","Summarische Gründe Der Gräflich-Saynischen Successions-Sach; Vor Heßen-Philippsthal, Wider Brandenburg-Onoltzbach","Summarische Gründe der gräflich-Saynischen Successions-Sach vor Heßen-Philippsthal wider Brandenburg-Onoltzbach",,,,,,,,,,,,1746-1750,Folio,,Rechtswissenschaft;Geschichte,,,ger,VD18,"10213899; 11434260; 13386778",HAB,"M: Gm 4° 409","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=144444712,"Sammelband mit 7 Werken; Altsignatur: M. c. 20"
weltwissen89,,,,1,"M. Joh. Coleri Oeconomia ruralis, & domestica. oder allgemeines Haus-Wirtschafts-Buch","Oeconomica Ruralis Et Domestica. Darin[n] das gantz Ampt aller trewer Hauß-Vätter und Hauß-Mütter, beständiges und allgemeines Hauß-Buch, vom Haußhalten, Wein- Acker- Gärten- Blumen- und Feld-Bau, begriffen","Oeconomia ruralis et domestica",,,,,,,,,"Frankfurt am Main#getty7005293",,"Zubrod, Johann Peter;Schönwetter, Johann Martin",1680,Folio,,Ökonomie;Landwirtschaft;Medizin,,,ger,,,HAB,"M: Oa 4° 2","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,"Teil 1-2",,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=535758499,"Altsignatur: D. 2. 6; 1-2 in einem Band"
weltwissen90,,,,1,"Fama Austriaca. das ist: Verzeichniss denkwürdiger Geschichten, hauptsächlich die böhmischen Unruhen betreffend","Fama Avstriaca. Das ist, Eigentliche Verzeichnuß denckwürdiger Geschichten, welche sich in den nechstverflossenen 16. Jahren hero biß auff vnd in das Jahr 1627. begeben haben","Fama Austriaca",,,,,,,,,Köln#getty7004446,,"Brachel, Peter von;Hogenberg, Anraham",1627,Folio,,Geschichte,,,ger,,,HAB,"M: Gm 4° 700","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=535938160,
weltwissen91,,,,1,"Ein außerlesne Chronika v. C. Jul. Cäsare bis auf Carolum Vten","Ein außerleßne Chronicka von C. Julio Cesare dem ersten, biß auff Carolum quintum diser zeit Rhömischen Keyser, auch von allen Orientischen oder Griechischen vnd Türckischen Keysern","Ein außerleßne Chronicka von C. Julio Cesare dem ersten biß auff Carolum quintum ...",,,,,,,,,Straßburg#getty7012346,,"Müller, Kraft",1541,Folio,,Geschichte;Genealogie;Altertumskunde,,,ger,VD16,"C 6480",,,,,,,,,,1,,,,,,
weltwissen92,,,,1,"Hof- Staats- und Regier-Kunst von Joh. Geo: Engelh. von Löhneys","Hof- Staats und Regier-Kunst, Bestehend in dreyen Büchern ...","Hof-, Staats und Regier-Kunst",,,,,,,,,"Frankfurt am Main#getty7005293",,"Ryssel, Gottfried von;Henning Grosse IV. Erben",1679,Folio,,,,,ger,VD17,23:270876U,,,,,,,,,,1,,,,,,
weltwissen93,,,,1,"Joh. Aventini Beyerische Chronika","Johannis Aventini Des Weitberümbten Hochgelehrten Beyerischen Geschichtschreibers Chronica, Darinn nicht allein deß ... Hauß Beyern ... Herkommen ..., sondern auch der ... Teutschen Vrsprung ... beschrieben ...",Chronica,,,,,,,,,"Frankfurt am Main#getty7005293",,"Jakob Fischer Erben",1622,Folio,,Geschichte;Genealogie,,,ger,,,HAB,"M: Gm 4° 68","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=091961866,"Altsignatur: A. b. 2"
weltwissen94,,,,1,"Anleitung zu gründlicher Verständniß der heiligen Offenbahrung Jesu Christi","Anleitung zu gründlicher Verständniß der Heiligen Offenbahrung Jesu Christi","Anleitung zu gründlicher Verständniß der heiligen Offenbahrung Jesu Christi",,,,,,,,,Magdeburg#getty7004456,,"Müller, Johann Daniel",1696,Folio,,Theologie,,,ger,,,HAB,"M: Td 4° 27","“ELISABETH SOPHIA MARIA. VERWITTWETE HERZOGINN ZU BR. U. LUN:”",,,,,,,1,,,,,http://opac.lbs-braunschweig.gbv.de/DB=2/XMLPRS=N/PPN?PPN=150995148,
weltwissen95,,,,1,"Theatrum Praecedentiae. Rang Streit, und Rang Ordnung von Zacharias Zwanzig"," Theatrvm Præcedentiæ, oder eines theils Illvstrer Rang-Streit, andern theils Illvstre Rang-Ordnung","Theatrum praecedentiae",,,,,,,,,"Frankfurt am Main#getty7005293",,"Fritsch, Thomas",1709,Folio,,Geschichte;Genealogie;Staatswissenschaften,,,ger,VD18,14782227,,,,,,,,,,1,"Teil 1-2; Exemplar M: Rq 4° 22 mit Provenienz Baudis",,,,,
weltwissen96,,,,1,"Des neu, und nie erhörten, doch in der Natur, und Vernunft wohl gegründeten Versuchs der Universal Vermehrung aller Bäume, Stauden, und Blumen-Gewächse","Neu- und nie erhörter Doch in der Natur und Vernunfft Wohlgegründeter Versuch Der Universal-Vermehrung Aller Bäume, Stauden, und Blumen-Gewächse","Neu und nie erhörter Versuch der Universal-Vermehrung aller Bäume, Stauden und Blumen-Gewächse",,,,,,,,,Regensburg#getty7013496,,"Peetz, Johann Conrad;Hofmann, Johann Georg",1716-1717,Folio,,Naturwissenschaft;Botanik,,,ger,GBV,"15020826X; 835236102",,,,,,,,,,1,"Teil 1-2; Exemplar mit Provenienz LR",,,,,
weltwissen97,,,,1,"Recessus Imperii. aller des Hl. R. R. gehaltenen Reichstäge Abschiede, und Satzungen pp.","Aller Deß Heiligen Römischen Reichs gehaltenen Reichs-Täge, Abschiede und Satzungen, Sambt andern Kays. und Königl. Constitutionen, Als Caroli IV. Güldene Bull ... betreffende Ordnungen und Satzungen, nebens dem Passauer Vertrag, Caroli V. Peinlichen Halß-Gerichts-Ordnung, Prager, Oßnabrückischer und Münsterischer Frieden-Schluß, Wie die vom Jahr 1356. biß in das 1654. auffgericht, erneuert und publicirt worden ...","Aller deß Heiligen Römischen Reichs gehaltenen Reichs-Täge Ordnungen",,,,,,,,,Mainz#getty7004449,,"Schönwetter, Johann Martin",1692,Folio,,Geschichte;Staatswissenschaften,,,ger,VD17,1:018622F,,,,,,,,,,1,"Exemplar mit Provenienz LR",,,,,
weltwissen98,,,,1,"Justi Gesenii SS.to Theologiae Doctoris Epistel-Predigten auf die Neben-Feste durchs ganze Jahr","Iusti Gesenii SS. Theol: Doctoris. Epistel-Predigten auff die Neben-Feste durchs gantze Jahr","Epistel-Predigten auff die Neben-Feste durchs gantze Jahr",,,,,,,,,Braunschweig#getty7004434,,"Zilliger, Christoph Friedrich;Gruber, Kaspar",1674,Folio,,Theologie,,,ger,VD17,23:626979R,,,,,,,,,,1,"Exemplar A: 30.3.2 Theol. 2° mit Provenienz LR",,,,,
weltwissen99,,,,1,"Petri Martyris Indianische Geschichte","Der Newenn Weldt vnd Indianischen Nidergängischen Königreichs, Newe vnd Wahrhaffte History, von allen Geschichten, Handlungen, Thaten ... Sampt von den gefährlichen Schiffarthen, Kriegen, Schlachten ...","Der newenn Weldt und indianischen Königreichs newe und wahrhaffte History",,,,,,,,,Basel#getty7007269,,"Henricpetri, Sebastian",1582-1583,Folio,,,,,ger,VD16,"B 1747",,,,,,,,,,1,"Teil 1-3",,,,,
